date,first_prize,last2,front3_1,front3_2,last3_1,last3_2,last3_3
16พฤษภาคม2549,100344,44,344,713,864,638,116
2พฤษภาคม2549,24554,54,554,270,64,380,821
16เมษายน2549,38564,64,564,492,104,427,698
1เมษายน2549,738365,65,365,950,649,553,15
16มีนาคม2549,936177,77,177,304,861,852,53
1มีนาคม2549,582473,73,473,435,868,11,89
16กุมภาพันธ์2549,317009,9,9,667,842,401,352
1กุมภาพันธ์2549,412729,29,729,879,157,201,493
16มกราคม2549,432747,47,747,792,227,899,652
30ธันวาคม2548,492955,55,955,940,663,87,421
16ธันวาคม2548,449565,65,565,868,21,629,589
1ธันวาคม2548,388551,51,551,170,727,640,277
16พฤศจิกายน2548,742518,18,518,805,27,418,871
1พฤศจิกายน2548,970577,77,577,981,713,750,92
16ตุลาคม2548,41072,72,72,713,469,134,102
1ตุลาคม2548,766482,82,482,247,665,517,922
16กันยายน2548,214768,68,768,104,982,821,240
1กันยายน2548,316933,33,933,171,233,389,690
16สิงหาคม2548,475560,60,560,682,728,441,39
1สิงหาคม2548,961633,33,633,260,551,523,862
16กรกฎาคม2548,477452,52,452,137,571,504,606
1กรกฎาคม2548,9554,54,554,877,984,276,412
16มิถุนายน2548,793070,70,70,448,60,210,746
1มิถุนายน2548,176893,93,893,351,765,796,164
16พฤษภาคม2548,867134,34,134,973,766,484,656
2พฤษภาคม2548,772467,67,467,430,173,838,150
16เมษายน2548,119327,27,327,100,819,683,466
1เมษายน2548,815753,53,753,694,823,812,248
16มีนาคม2548,196345,45,345,30,736,17,833
1มีนาคม2548,800751,51,751,936,817,149,986
16กุมภาพันธ์2548,816422,22,422,530,863,561,920
1กุมภาพันธ์2548,540054,54,54,343,891,808,635
16มกราคม2548,335022,22,22,86,892,910,394
30ธันวาคม2547,168858,58,858,282,216,36,271
16ธันวาคม2547,479372,72,372,172,880,759,991
1ธันวาคม2547,504658,58,658,691,390,149,846
16พฤศจิกายน2547,754622,22,622,649,180,197,449
1พฤศจิกายน2547,185966,66,966,238,621,377,456
16ตุลาคม2547,355858,58,858,621,622,4,388
1ตุลาคม2547,110866,66,866,662,5,477,818
16กันยายน2547,923373,73,373,592,958,887,748
1กันยายน2547,96597,97,597,707,99,290,144
16สิงหาคม2547,335921,21,921,591,140,825,592
2สิงหาคม2547,868990,90,990,459,568,115,103
16กรกฎาคม2547,205588,88,588,256,967,264,611
1กรกฎาคม2547,312471,71,471,663,135,986,642
16มิถุนายน2547,208713,13,713,874,149,114,599
1มิถุนายน2547,614144,44,144,729,907,764,259
16พฤษภาคม2547,589207,7,207,134,929,925,262
2พฤษภาคม2547,653403,3,403,913,855,508,221
16เมษายน2547,705832,32,832,120,89,666,347
1เมษายน2547,196391,91,391,628,89,182,578
16มีนาคม2547,615366,66,366,697,790,944,788
1มีนาคม2547,697483,83,483,506,105,107,592
16กุมภาพันธ์2547,698002,2,2,8,773,97,980
1กุมภาพันธ์2547,216822,22,822,773,612,427,697
16มกราคม2547,731342,42,342,960,253,579,263
30ธันวาคม2546,739447,47,447,646,544,357,432
16ธันวาคม2546,177947,47,947,876,768,477,355
1ธันวาคม2546,991307,7,307,789,457,195,592
16พฤศจิกายน2546,238511,11,511,681,557,675,944
1พฤศจิกายน2546,941438,38,438,478,661,562,162
16ตุลาคม2546,305500,0,500,31,90,120,844
1ตุลาคม2546,912040,40,40,434,71,3,795
16กันยายน2546,600589,89,589,539,93,569,964
1กันยายน2546,187813,13,813,926,619,187,932
16สิงหาคม2546,354771,71,771,4,962,712,66
1สิงหาคม2546,766098,98,98,917,338,560,74
16กรกฎาคม2546,679545,45,545,750,495,892,813
1กรกฎาคม2546,461414,14,414,911,518,783,952
16มิถุนายน2546,389872,72,872,296,59,959,220
1มิถุนายน2546,766066,66,66,360,835,233,546
16พฤษภาคม2546,552784,84,784,206,80,486,993
2พฤษภาคม2546,135603,3,603,124,988,703,865
